File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
54a6f7fb-0ff2-46c1-ae0c-eec916582ebc	5fd5b29b-a380-4908-af69-206c44572f7f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EC	TCGA-DD-A1EC-11A	Solid Tissue Normal
be942c0b-6791-4446-8fe4-7fad48e12877	2c8fd277-868c-4cc3-94df-751a4b8a836b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EC	TCGA-DD-A1EC-01A	Primary Tumor
f5370263-e1e1-4acc-9bf6-9399e334dad1	46d852d4-8882-4375-8599-cb61d99b7c13.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-K7-A5RG	TCGA-K7-A5RG-01A	Primary Tumor
c7294b6a-1ed1-40fe-b7de-f986c6558151	bb8646a3-ff4a-41a7-928f-b9fabe5d28cc.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-K7-A5RF	TCGA-K7-A5RF-01A	Primary Tumor
65cf3f05-1471-437c-8281-ec0dc6ed90b4	c76b6b88-9f09-4388-9ff8-d39f27d3fd3f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A23B	TCGA-FV-A23B-11A	Solid Tissue Normal
343d382d-856b-402e-a311-4e2944e65d08	be1ba754-b2d6-4a08-b148-660598e35fdc.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A23B	TCGA-FV-A23B-01A	Primary Tumor
1649e403-10ec-423c-a000-866a45882416	e2f64d5b-33a4-436e-8669-8a64f62a0a0d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10U	TCGA-BC-A10U-01A	Primary Tumor
488f338a-4e38-4592-9ee4-21234d563760	1faf9f76-ff29-4159-8e7b-2ff8129317c0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10U	TCGA-BC-A10U-11A	Solid Tissue Normal
228be7eb-b084-41ef-92f7-e3bd9c143087	b2d58ce3-bfe0-4b42-859d-23b99e0f6a7b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A4ZP	TCGA-FV-A4ZP-01A	Primary Tumor
e5ac5322-4f61-4f21-9360-b877d25a4452	1d265d44-42ed-4f60-9a21-b7145e298d16.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A4NP	TCGA-DD-A4NP-01A	Primary Tumor
fb2c1d80-eed1-4bd8-9090-43f12f3b6301	10bf7ebc-2fea-48a0-8bf3-5fcc216482bf.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11C	TCGA-DD-A11C-01A	Primary Tumor
8f59d03d-1b12-491b-a730-3ba3922efc34	08787349-3ee0-4fe9-91f5-f97845844d69.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11C	TCGA-DD-A11C-11A	Solid Tissue Normal
86c61aaf-7ff3-4860-840f-e6dbe3ebff3a	29f36eed-d1da-4a11-9117-18a5ed82841f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A114	TCGA-DD-A114-11A	Solid Tissue Normal
6d29c017-97af-4208-8921-6312747f70e3	8761b2cf-d925-45fd-8d60-0c9486ba9d4a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A114	TCGA-DD-A114-01A	Primary Tumor
91dd27c6-cde9-4827-b055-baf0d1f2d91c	722569ee-652d-4d83-96b2-5b7884030f06.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10R	TCGA-BC-A10R-01A	Primary Tumor
e893361b-89f3-46e3-8ddf-9253d991ab00	9feb48fc-227e-46ef-bf9e-b82917f0c53a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10R	TCGA-BC-A10R-11A	Solid Tissue Normal
81de8512-6b4f-4909-8c36-de43a5536915	61cfbcc7-a28a-4ae0-8655-d5522901d46a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11D	TCGA-DD-A11D-01A	Primary Tumor
a7e92091-9fdc-488b-8085-7df5cac34feb	c7c4f1d3-6a17-4607-bc11-2a3edb7c259f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11D	TCGA-DD-A11D-11A	Solid Tissue Normal
af1a09a2-c132-481a-b6db-eb359959db40	b6c60cef-aeed-42dd-860d-40340816201c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1ED	TCGA-DD-A1ED-01A	Primary Tumor
d41fddd9-39ca-4410-b855-a8239bf21862	3b2daa10-4b10-433d-9138-cb10c25217dd.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1ED	TCGA-DD-A1ED-11A	Solid Tissue Normal
9187a9af-02b3-401d-9ec6-90060924f324	e1fc6e7d-4bd0-4ebc-ab69-4471677e4028.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BD-A2L6	TCGA-BD-A2L6-01A	Primary Tumor
fbd37edf-a213-464e-9368-7e30e4acb95e	b6b63dc3-2b4b-4012-91d8-b2d34644e8f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BD-A2L6	TCGA-BD-A2L6-11A	Solid Tissue Normal
6d965bd2-ccf5-4fe5-993f-c2e1fe746e91	25070520-8760-4fe8-b5c0-0224969dfffb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A4NB	TCGA-DD-A4NB-01A	Primary Tumor
001a5e60-809d-48cd-a080-cea77f110798	ab91dc26-3fca-4097-b8a0-51892b62998e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11B	TCGA-DD-A11B-11A	Solid Tissue Normal
60a49164-adc4-40bb-a152-45d69bf5868a	5f2a82b6-c8d5-4da6-b78f-92ceddbeae2e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11B	TCGA-DD-A11B-01A	Primary Tumor
f1bfe9ad-0c61-4cd8-b999-cad0192b6aa2	fe7f768f-2a95-4fff-8ea2-d8542143ea3c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-GJ-A6C0	TCGA-GJ-A6C0-01A	Primary Tumor
43bcf09a-7b62-48ff-90bb-1923aaea6117	6fd06e86-3978-4d10-8ca6-f3f9e990e439.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EF	TCGA-DD-A1EF-01A	Primary Tumor
c614d436-ca0a-49d6-a5e7-fcaade128471	0d210dd0-5774-4843-8b94-a5256648e7e0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EF	TCGA-DD-A1EF-11A	Solid Tissue Normal
69b4ba70-b3e7-45e6-a39e-ccdb1cf043b6	93f8b61a-f1fe-4cf0-a90c-9b35f2d66087.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EL	TCGA-DD-A1EL-11A	Solid Tissue Normal
a940563f-fb70-4c17-a499-d3b8c4e306db	12df0516-d8c5-40bd-8dac-1b44e85558d8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EL	TCGA-DD-A1EL-01A	Primary Tumor
2c3f2f88-d817-435e-80e5-b90f7d7d9652	b16838f8-aff7-46e0-b030-3e452de748ba.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A495	TCGA-FV-A495-01A	Primary Tumor
8f1dab60-2fd9-4850-a96e-89c314b371d8	46f1452d-b146-4aea-ab35-6b95ef65f60e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A4NE	TCGA-DD-A4NE-01A	Primary Tumor
